City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ribeira Grande,38.5167,-28.7,24.22,88,75,2.57,PT,1658761328
Albany,42.6001,-73.9662,23.08,93,100,3.09,US,1658761202
Ugoofaaru,5.6667,73.0,27.76,78,80,6.96,MV,1658761356
Rikitea,-23.1203,-134.9692,23.92,73,23,8.62,PF,1658761358
Lebu,-37.6167,-73.65,12.22,82,100,10.87,CL,1658761359
Hong Kong,22.2855,114.1577,31.03,79,7,2.68,HK,1658761137
Ushuaia,-54.8,-68.3,2.81,87,75,12.35,AR,1658761343
Biak,-0.9131,122.8766,24.37,83,95,2.63,ID,1658761274
Punta Arenas,-53.15,-70.9167,4.06,70,75,9.77,CL,1658761364
Thompson,55.7435,-97.8558,10.74,92,100,2.65,CA,1658761365
Lázaro Cárdenas,17.9583,-102.2,26.3,82,100,2.29,MX,1658761275
Jamestown,42.097,-79.2353,22.5,78,81,1.34,US,1658761099
Bluff,-46.6,168.3333,7.11,83,100,11.64,NZ,1658761303
Mataura,-46.1927,168.8643,6.93,90,100,5.15,NZ,1658761370
Tuktoyaktuk,69.4541,-133.0374,6.72,76,100,5.4,CA,1658761300
Mitsamiouli,-11.3847,43.2844,25.12,71,4,2.76,KM,1658761372
Nikolskoye,59.7035,30.7861,22.57,65,94,2.54,RU,1658761374
Kahului,20.8947,-156.47,24.91,81,6,3.13,US,1658761375
New Norfolk,-42.7826,147.0587,10.76,84,100,1.2,AU,1658761376
Esperance,-33.8667,121.9,11.2,64,0,6.14,AU,1658761271
Rudnichnyy,59.617,52.4703,20.63,90,70,1.94,RU,1658761379
Ola,59.5833,151.2833,10.3,88,27,0.65,RU,1658761380
Labuhan,-6.8844,112.2051,23.4,73,27,4.35,ID,1658761381
Hobart,-42.8794,147.3294,12.07,86,75,4.12,AU,1658761209
Traverse City,44.7631,-85.6206,17.67,67,22,4.68,US,1658761142
Cabo San Lucas,22.8909,-109.9124,28.06,76,100,1.79,MX,1658760980
Lorengau,-2.0226,147.2712,27.15,81,35,2.2,PG,1658761386
Butaritari,3.0707,172.7902,27.3,79,100,7.19,KI,1658761237
Half Moon Bay,37.4636,-122.4286,13.87,88,100,4.12,US,1658761389
Lüderitz,-26.6481,15.1594,17.4,64,2,5.08,NA,1658761180
Vaini,-21.2,-175.2,23.04,64,34,7.56,TO,1658761227
Khatanga,71.9667,102.5,20.92,70,100,2.02,RU,1658761393
Hilo,19.7297,-155.09,21.52,88,100,4.02,US,1658761377
Skagen,57.7209,10.5839,17.52,94,100,10.43,DK,1658761395
Hermanus,-34.4187,19.2345,18.22,56,0,3.46,ZA,1658761396
Morón,-34.6534,-58.6198,12.9,99,100,3.89,AR,1658761398
Chaoyang,41.5703,120.4586,23.38,76,47,2.25,CN,1658761399
Aras,42.5617,-2.356,26.23,36,0,3.6,ES,1658761401
Potsdam,52.3989,13.0657,34.58,28,76,5.42,DE,1658761402
Busselton,-33.65,115.3333,16.24,74,37,9.39,AU,1658761403
Baghdad,33.3406,44.4009,41.95,8,0,8.75,IQ,1658761122
Provideniya,64.3833,-173.3,5.65,88,97,3.51,RU,1658761406
Chaman,30.9236,66.4512,30.88,41,88,6.6,PK,1658761407
Kupang,-10.1667,123.5833,23.24,70,21,6.03,ID,1658761408
Mar del Plata,-38.0023,-57.5575,12.49,89,99,2.68,AR,1658761410
Salou,41.0766,1.1416,30.59,75,40,4.92,ES,1658761411
Ponta do Sol,32.6667,-17.1,31.91,48,45,2.36,PT,1658761413
Lotofaga,-13.9764,-171.8578,26.3,79,94,10.13,WS,1658761414
Upernavik,72.7868,-56.1549,4.21,89,99,5.0,GL,1658761230
Newton,42.337,-71.2092,29.85,68,0,5.66,US,1658761416
Mount Isa,-20.7333,139.5,18.87,30,0,3.6,AU,1658761418
Richards Bay,-28.783,32.0377,17.58,58,25,5.22,ZA,1658761236
Ancud,-41.8697,-73.8203,7.35,91,100,5.91,CL,1658761420
Iralaya,15.0,-83.2333,27.22,80,77,3.28,HN,1658761422
Khuzdar,27.7384,66.6434,22.59,91,100,3.26,PK,1658761423
Castro,-24.7911,-50.0119,22.65,46,100,1.54,BR,1658761281
Yellowknife,62.456,-114.3525,15.08,62,95,7.42,CA,1658761388
Saint George,37.1041,-113.5841,28.81,48,0,2.06,US,1658761426
Aklavik,68.2191,-135.0107,13.72,67,100,2.95,CA,1658761428
Barrow,71.2906,-156.7887,4.01,93,100,8.23,US,1658761429
Cape Town,-33.9258,18.4232,18.03,48,0,1.79,ZA,1658761353
Mayumba,-3.432,10.6554,23.6,81,42,5.22,GA,1658761432
Kuala Selangor,3.35,101.25,27.55,83,93,3.41,MY,1658761433
Torbay,47.6666,-52.7314,29.2,56,100,3.23,CA,1658761244
Fortuna,40.5982,-124.1573,12.19,69,20,1.86,US,1658761435
Toamasina,-18.1667,49.3833,20.73,83,6,1.79,MG,1658761437
Tashtyp,52.7939,89.8983,12.83,80,100,2.18,RU,1658761438
Jacareacanga,-6.2222,-57.7528,35.57,27,5,2.02,BR,1658761439
Adwa,14.1646,38.8955,19.69,72,100,1.17,ET,1658761441
Saint-Gabriel,46.3001,-73.3824,24.31,78,14,7.06,CA,1658761442
Amazar,53.858,120.875,19.38,74,52,1.49,RU,1658761443
Te Anau,-45.4167,167.7167,3.45,93,100,1.07,NZ,1658761445
Meulaboh,4.1363,96.1285,23.86,96,100,0.74,ID,1658761446
Kiryat Gat,31.61,34.7642,31.33,39,0,5.54,IL,1658761447
Bengkulu,-3.8004,102.2655,23.64,90,100,4.31,ID,1658761449
Chui,-33.6971,-53.4616,16.34,92,100,3.52,UY,1658761450
Ketchikan,55.3422,-131.6461,14.26,100,100,0.0,US,1658761453
Dikson,73.5069,80.5464,10.04,90,100,7.48,RU,1658761396
Kapaa,22.0752,-159.319,22.3,86,7,0.89,US,1658761250
Salinas,36.6777,-121.6555,12.74,69,36,0.85,US,1658761122
Port Blair,11.6667,92.75,27.76,84,66,3.08,IN,1658761457
Port Alfred,-33.5906,26.891,16.21,67,0,1.79,ZA,1658761224
Shubarkuduk,49.1447,56.4872,29.77,26,40,4.39,KZ,1658761460
Adrar,20.5022,-10.0711,39.4,21,73,7.61,MR,1658761461
Bilibino,68.0546,166.4372,5.26,85,80,3.38,RU,1658761462
Tasiilaq,65.6145,-37.6368,9.09,81,100,0.31,GL,1658761417
Avarua,-21.2078,-159.775,16.03,94,40,1.03,CK,1658761465
Atuona,-9.8,-139.0333,24.58,69,94,6.53,PF,1658761466
Saint-Philippe,-21.3585,55.7679,20.73,79,49,5.65,RE,1658761332
Pevek,69.7008,170.3133,1.41,89,87,3.44,RU,1658761468
Severo-Kuril'sk,50.6789,156.125,9.96,93,100,4.84,RU,1658761470
Saskylakh,71.9167,114.0833,20.91,56,97,2.82,RU,1658761471
Alice Springs,-23.7,133.8833,8.75,71,0,0.0,AU,1658761378
Port Elizabeth,-33.918,25.5701,15.73,72,0,5.36,ZA,1658761464
Carnarvon,-24.8667,113.6333,18.16,36,0,5.09,AU,1658761338
Portland,45.5234,-122.6762,21.38,68,0,2.57,US,1658761298
Caravelas,-17.7125,-39.2481,25.68,58,71,4.11,BR,1658761477
Shenjiamen,29.9576,122.298,25.94,90,84,4.68,CN,1658761478
Inhambane,-23.865,35.3833,20.32,62,53,5.55,MZ,1658761479
Iqaluit,63.7506,-68.5145,5.39,93,40,2.06,CA,1658761481
Yueyang,29.3333,113.0919,28.03,77,1,3.41,CN,1658761482
Dillon,34.4166,-79.3712,29.99,58,47,4.88,US,1658761483
Canalete,8.6761,-76.2042,25.19,88,100,2.83,CO,1658761485
Qaanaaq,77.484,-69.3632,5.33,74,4,0.85,GL,1658761486
Chokwé,-24.5333,32.9833,19.66,48,0,4.07,MZ,1658761487
Lagoa Formosa,-18.7786,-46.4075,25.57,30,0,2.73,BR,1658761489
Rocha,-34.4833,-54.3333,17.48,88,100,4.2,UY,1658761490
Tocopilla,-22.092,-70.1979,18.38,65,4,4.34,CL,1658761491
Lata,40.1629,-8.3327,28.6,46,0,5.74,PT,1658761493
Provincia di Campobasso,41.6333,14.5833,33.29,28,66,1.38,IT,1658761494
Itarema,-2.9248,-39.9167,31.41,44,58,6.03,BR,1658761419
Xining,36.6167,101.7667,18.03,50,0,0.38,CN,1658761212
Mil'kovo,54.7167,158.6167,12.06,84,100,0.53,RU,1658761384
Vila Velha,-20.3297,-40.2925,23.3,81,74,3.39,BR,1658761325
Vao,-22.6667,167.4833,21.04,75,9,6.36,NC,1658761500
Puerto López,4.0845,-72.956,24.18,84,100,1.19,CO,1658761501
Bijapur,16.8333,75.7,24.75,74,100,6.81,IN,1658761502
Fairbanks,64.8378,-147.7164,14.5,67,75,2.06,US,1658761504
Flinders,-34.5833,150.8552,13.07,84,95,2.24,AU,1658761505
Saint-Paul,-21.0096,55.2707,20.09,77,65,0.58,RE,1658761506
Tavda,58.0425,65.2726,20.32,90,70,2.21,RU,1658761508
Poum,-20.2333,164.0167,22.72,77,1,8.18,NC,1658761363
Kavieng,-2.5744,150.7967,27.52,81,48,7.48,PG,1658761510
Puerto El Triunfo,13.2833,-88.55,27.48,63,97,1.16,SV,1658761512
Port Said,31.2565,32.2841,28.3,68,0,6.27,EG,1658761513
Laibin,23.7,109.2667,28.73,69,0,2.45,CN,1658761514
Grindavik,63.8424,-22.4338,12.26,76,75,5.14,IS,1658761516
Aquiraz,-3.9014,-38.3911,30.37,52,39,5.69,BR,1658761517
Adamantas,36.7333,24.4333,24.56,77,0,5.82,GR,1658761518
Zhigansk,66.7697,123.3711,14.81,73,5,1.42,RU,1658761520
‘Āhuimanu,21.4447,-157.8378,22.82,81,100,4.63,US,1658761521
Norman Wells,65.282,-126.8329,17.35,57,49,1.86,CA,1658761523
Tuatapere,-46.1333,167.6833,5.71,94,100,1.38,NZ,1658761524
El Salto,20.3333,-104.5,19.07,88,100,1.04,MX,1658761525
Erzin,36.9559,36.2,31.59,28,0,4.71,TR,1658761526
Atikokan,48.7555,-91.6216,18.71,52,6,4.1,CA,1658761528
Luanda,-8.8368,13.2343,23.0,78,0,4.12,AO,1658761529
Ginir,7.1333,40.7,21.85,43,88,4.81,ET,1658761530
Tākestān,36.0696,49.6959,20.58,65,0,8.25,IR,1658761532
Piaçabuçu,-10.4056,-36.4344,25.69,69,70,5.31,BR,1658761533
São Filipe,14.8961,-24.4956,25.26,89,100,3.51,CV,1658761535
Östersund,63.1792,14.6357,18.25,72,75,5.14,SE,1658761536
Katsuura,35.1333,140.3,26.01,93,87,6.95,JP,1658761537
Makakilo City,21.3469,-158.0858,22.58,75,20,3.6,US,1658761538
